iter	Passed	Remaining
1231	59123	12861
1232	59159	12810
1233	59209	12763
1234	59252	12713
1235	59313	12668
1236	59356	12619
1237	59403	12571
1238	59439	12521
1239	59474	12470
1240	59520	12422
1241	59562	12372
1242	59604	12323
1243	59651	12275
1244	59707	12229
1245	59753	12180
1246	59802	12133
1247	59837	12082
1248	59891	12035
1249	59935	11987
1250	59982	11938
1251	60027	11890
1252	60064	11840
1253	60122	11794
1254	60172	11746
1255	60211	11697
1256	60257	11648
1257	60307	11601
1258	60356	11553
1259	60395	11503
1260	60443	11455
1261	60498	11409
1262	60546	11361
1263	60599	11314
1264	60636	11264
1265	60684	11216
1266	60720	11166
1267	60757	11116
1268	60792	11066
1269	60839	11018
1270	60879	10968
1271	60928	10921
1272	60964	10871
1273	61002	10821
1274	61044	10772
1275	61085	10723
1276	61122	10673
1277	61162	10624
1278	61199	10574
1279	61241	10525
1280	61278	10476
1281	61324	10427
1282	61371	10380
1283	61409	10330
1284	61446	10280
1285	61500	10234
1286	61548	10186
1287	61594	10138
1288	61637	10089
1289	61677	10040
1290	61715	9991
1291	61759	9942
1292	61802	9894
1293	61840	9844
1294	61888	9797
1295	61925	9747
1296	61965	9698
1297	62025	9652
1298	62076	9605
1299	62119	9556
1300	62163	9508
1301	62204	9459
1302	62263	9413
1303	62308	9365
1304	62351	9316
1305	62396	9268
1306	62435	9219
1307	62481	9171
1308	62521	9122
1309	62567	9074
1310	62620	9027
1311	62662	8979
1312	62700	8929
1313	62762	8884
1314	62803	8835
1315	62862	8789
1316	62907	8741
1317	62947	8692
1318	62999	8645
1319	63042	8596
1320	63096	8549
1321	63147	8502
1322	63199	8455
1323	63252	8408
1324	63296	8359
1325	63342	8311
1326	63380	8262
1327	63432	8215
1328	63475	8167
1329	63533	8120
1330	63587	8073
1331	63628	8025
1332	63668	7976
1333	63727	7930
1334	63790	7884
1335	63837	7836
1336	63892	7789
1337	63935	7741
1338	63982	7693
1339	64031	7645
1340	64080	7597
1341	64128	7550
1342	64177	7502
1343	64221	7454
1344	64267	7406
1345	64311	7358
1346	64370	7311
1347	64412	7263
1348	64463	7215
1349	64521	7169
1350	64565	7120
1351	64605	7072
1352	64648	7023
1353	64702	6976
1354	64757	6929
1355	64798	6881
1356	64836	6832
1357	64875	6783
1358	64923	6736
1359	64963	6687
1360	65003	6638
1361	65069	6592
1362	65113	6544
1363	65159	6496
1364	65206	6449
1365	65244	6400
1366	65283	6351
1367	65337	6304
1368	65376	6255
1369	65418	6207
1370	65456	6158
1371	65492	6110
1372	65532	6061
1373	65572	6013
1374	65616	5965
1375	65665	5917
1376	65715	5870
1377	65754	5821
1378	65799	5773
1379	65840	5725
1380	65880	5676
1381	65919	5628
1382	65966	5580
1383	66007	5532
1384	66045	5483
1385	66095	5436
1386	66143	5388
1387	66192	5341
1388	66231	5292
1389	66270	5244
1390	66309	5196
1391	66371	5149
1392	66410	5101
1393	66452	5053
1394	66508	5005
1395	66544	4957
1396	66587	4909
1397	66636	4861
1398	66680	4813
1399	66733	4766
1400	66786	4719
1401	66823	4670
1402	66867	4623
1403	66901	4574
1404	66948	4526
1405	66989	4478
1406	67027	4430
1407	67061	4381
1408	67099	4333
1409	67136	4285
1410	67174	4237
1411	67223	4189
1412	67257	4141
1413	67298	4093
1414	67354	4046
1415	67390	3997
1416	67427	3949
1417	67462	3901
1418	67500	3853
1419	67539	3805
1420	67575	3756
1421	67629	3709
1422	67673	3661
1423	67725	3614
1424	67759	3566
1425	67802	3518
1426	67841	3470
1427	67889	3422
1428	67941	3375
1429	67982	3327
1430	68020	3279
1431	68067	3232
1432	68103	3184
1433	68152	3136
1434	68191	3088
1435	68231	3040
1436	68282	2993
1437	68324	2945
1438	68365	2898
1439	68400	2850
1440	68439	2802
1441	68487	2754
1442	68527	2706
1443	68560	2658
1444	68610	2611
1445	68668	2564
1446	68705	2516
1447	68741	2468
1448	68787	2421
1449	68832	2373
1450	68869	2325
1451	68908	2277
1452	68959	2230
1453	69002	2183
1454	69038	2135
1455	69074	2087
1456	69110	2039
1457	69149	1991
1458	69193	1944
1459	69241	1897
1460	69279	1849
1461	69323	1801
1462	69372	1754
1463	69415	1706
1464	69451	1659
1465	69489	1611
1466	69536	1564
1467	69574	1516
1468	69617	1469
1469	69670	1421
1470	69706	1374
1471	69742	1326
1472	69785	1279
1473	69827	1231
1474	69872	1184
1475	69908	1136
1476	69946	1089
1477	69987	1041
1478	70020	994
1479	70059	946
1480	70098	899
1481	70141	851
1482	70193	804
1483	70233	757
1484	70287	709
1485	70321	662
1486	70361	615
1487	70404	567
1488	70460	520
1489	70501	473
1490	70546	425
1491	70585	378
1492	70628	331
1493	70671	283
1494	70711	236
1495	70750	189
1496	70800	141
1497	70838	94
1498	70881	47
1499	70916	0
